,channel_name,channel_id,real_state,lat_long,transcript_count,wordcount
318,FridleyMunicipalTV,UCgguNa9ShDCIeSXqFZbzphg,Minnesota,"(45.084944, -93.26286089999999)",82,280383
360,KingCountyTV,UCmsDL2CRIMtE1I6-eZqEx4g,Washington,"(47.5480339, -121.9836029)",73,276520
424,Newburgh Maine,UCiANGUnQ2sSa7SaV_sSW2Aw,Maine,"(44.71736749999999, -69.0003898)",41,276102
486,Surprise TV,UChvREiqh2Lc3HoTGqcPb3vg,Arizona,"(33.6297375, -112.3654922)",189,274457
492,The City of Frederick,UCTig2g9-KiZFgNg8kYxeKXA,Maryland,"(39.41426879999999, -77.4105409)",155,267098
459,Putnam County TN Government,UC2D4OD-kL2jUOtpY0KHktFA,Tennessee,"(36.1494165, -85.5229902)",56,259858
530,Vidalia Louisiana,UCa6cbVaGERmEA6WGt33z-dg,Louisiana,"(31.5654441, -91.4259495)",79,259534
453,Port Orange Government Television,UCTYNmc7tZVRrB2NH5-Oj7hg,Florida,"(29.1265036, -81.0207434)",34,259387
503,"Town of Chester, NY",UCcfUBNLL64j3sKxfuxTtcog,New York,"(41.3625937, -74.27126129999999)",32,255198
316,Franklin Tennessee,UCaDJdA9NLVQOuXVbx1JV0cw,Tennessee,"(35.9250637, -86.8688899)",35,255035
489,TarrantCountyTX,UCreZ2-bXXetuRiKZAtXcNNA,Texas,"(32.7732044, -97.35165579999999)",38,254963
246,"City of Whitehall, Ohio",UCvjez8n5YvwKfEZ-2RX9fkg,Ohio,"(39.9667308, -82.8854559)",52,254594
411,MtPleasantMI,UCbfjqB0HPkc6KHaQa4_zVgg,Michigan,"(43.59780749999999, -84.7675139)",50,253593
160,"City of Little Falls, MN",UCDJcQU_2dOXIixQEJzQ7_aQ,Minnesota,"(45.9805556, -94.36944439999999)",38,252165
16,Bay Saint Louis City Council,UCfZVth2EfSBM4lVvXg_H-kw,Mississippi,"(30.316913, -89.345498)",25,252062
309,"Exeter, Rhode Island",UC_0OoUlSPYRpwmRMpQ8-sCw,Rhode Island,"(41.5750676, -71.5351476)",19,246655
154,City of Lakewood,UC6kjNiFzrc9PwiTF_zTTaRQ,Washington,"(47.1717649, -122.518458)",16,245433
173,City of Mesa,UCxhnbjW5_gD9I4gk_5t6-Aw,Arizona,"(33.4151843, -111.8314724)",193,244877
244,City of West Melbourne,UC0rw9-ZqduSTcs6uBNU7_ag,Florida,"(28.0716832, -80.65338779999999)",17,243141
46,City Of Durant Council Chambers,UCQO-_Crp48w7jN-mZ0oGGVQ,Colorado,"(33.992638, -96.37766300000001)",20,242195
109,"City of Edwardsville, KS - Government",UC2M-zO1Jcwm4YOjbxFhdNAA,Kansas,"(39.0562158, -94.82191519999999)",32,242186
250,City of Woodbury MN,UCDsJCsK3YLLVgRbg34kABMA,Minnesota,"(44.9238552, -92.9593797)",313,241660
80,"City of Brighton, CO (KBRI-8)",UC7fxHV_KyittFb3M9jDbBGA,Colorado,"(39.9852617, -104.8205283)",86,240920
498,The Town of Lexington,UCsor0AoZVy2UvAW52JOlbxA,South Carolina,"(33.9815369, -81.2362107)",52,235693
126,City of Grand Marais,UC8OF_XBXW9WJuCZEIzxSlIQ,Minnesota,"(47.7504469, -90.3342727)",18,234495
73,"City of Bonner Springs, Kansas",UCyUl-B3mt386DdFgJqYfFyg,Kansas,"(39.059726, -94.8835754)",35,223988
190,"City of Newark, Delaware",UCkUa0_pCSXUlTQaeXLd73eA,Delaware,"(39.6837226, -75.74965720000002)",103,220635
156,"City of Las Vegas, New Mexico",UCNGDVGRRAL0qVevel5JYeRw,New Mexico,"(35.5942137, -105.2227978)",27,219943
121,City of Freeport ILL,UCPtSul497oxrsjhrn_qhiMw,Illinois,"(42.2966861, -89.6212271)",26,215039
131,City of Haysville Kansas,UC3XUt81Il2JWijJiV6yqnNw,Kansas,"(37.5644615, -97.3522675)",59,214639
92,"City of Cocoa, Florida",UCbWJK7XQyPVBmp15Fwoa4jA,Florida,"(28.3861159, -80.7419984)",49,209097
334,Helena Civic Television,UC9AloSLo5HpsRCpfnFo7fcQ,Montana,"(46.5891452, -112.0391057)",56,200768
273,Clean Water Initiative,UCcE3IVErioHtVMqAeBLVDZQ,Vermont,"(44.5588028, -72.57784149999999)",32,200519
568,eXplore Xenia,UCUFFzFWxDl_DMOe9J7QzmgA,Ohio,"(39.686438, -83.929177)",37,199262
120,"City of Franklin, VA",UCMmXa_L4o0ZgMpRDCZs1syA,Virginia,"(36.6776507, -76.9224608)",17,198780
101,"City of Crescent City, California",UCc8LIkDxscuciAFNB9yEEMA,California,"(41.7557501, -124.2025913)",25,197156
512,Town of Rome Wisconsin,UC4c0rhMyFqU3QhLrIvqmyBA,Wisconsin,"(44.1988545, -89.820273)",18,194142
232,City of Sherwood Arkansas,UCF1JLn4XfEMB_403o-gj7PQ,Arkansas,"(34.8150907, -92.2243153)",40,193454
490,Texas Counties,UCypcad6NCCz1KNAkygXmNzA,Texas,Texas Counties,150,190963
320,FultonGovernmentTV,UCYH7E0jH6HxE-3KTRluH8SQ,Georgia,"(33.751422, -84.39144329999999)",66,190452
176,"City of Midland, Michigan",UCjShycow9Ksl3jU9N8lVfPQ,Michigan,"(43.6155825, -84.2472116)",324,189793
291,"Daniel, Utah Town Meetings",UCNl9vzo3Afm_qhRoXdDrqPg,Utah,"(40.4720026, -111.4314629)",34,181227
550,Westmoreland City Council Meetings,UCgjmBbalmzDjqkZdJbS0AgQ,Tennessee,"(36.561532, -86.24781000000002)",32,179083
85,"City of Calhoun, GA",UCFPzDB48ZQ6IAF_z0NQBPKQ,Georgia,"(34.502587, -84.9510542)",27,178795
487,TOMP Council Meetings,UCNhfTlBOB2AbKtELKzY7_yQ,South Carolina,"(34.7589326, -83.0731265)",13,173836
484,Sunbury Videos,UCP6obhaxx_cy4JKoPwFLQ5g,Pennsylvania,"(40.8618561, -76.7779541)",50,172840
254,CityOfThousandOaks,UCsSwux-Xmetz846gSsmptDw,California,"(34.1705609, -118.8375937)",89,168839
570,mohavecountyus,UCxpmqlXxz7UYF9ol80H7dEQ,Arizona,"(35.2143346, -113.7632828)",17,168670
179,City of Mission Tx,UCha07JnlG0muI97kb9u0Iig,Texas,"(26.2159066, -98.32529319999999)",95,167161
0,"Ada County, Idaho",UCmREyet73vxhBFCffWClEKA,Idaho,"(43.478767, -116.2420304)",19,162187
510,Town of Orangetown,UCiO7szhtu7X___gRqoFkuOg,New York,"(41.0555461, -73.94773839999999)",24,162008
87,"City of Centerville, Ohio",UCXLOLKzXqOtD9BSlPGrDBHQ,Ohio,"(39.6283928, -84.15938179999999)",68,157863
221,City of San Antonio,UCc1cljyxKwZYVnDapMi26eQ,Texas,"(29.4241219, -98.49362819999999)",209,157428
33,CSBTV20,UC0MKBRS7teISJ5iGufoc_Iw,California,"(36.778261, -119.4179324)",7,154618
399,Millville Cable Access,UCUmDFf-Vh4YhDiMqAnaMsug,Massachusetts,"(42.0278756, -71.5808973)",13,154431
119,"City of Florence, Kentucky",UCKAoTbCHbQPSIf80S5wYhlA,Kentucky,"(38.9989499, -84.62661109999999)",32,153444
465,SCCGov Chambers,UCF4DoI6Shq5PtVGaQRrAerw,California,"(37.3336581, -121.8907041)",11,152787
443,Pembroke Pines Media,UC5C4-X_lLc_8dZ3pJzYRkZA,Florida,"(26.0274521, -80.34878549999999)",93,152298
265,CityofGulfport FL,UCMcHz3QnFbjgo_QVvyJYDMQ,Florida,"(27.7483613, -82.7034334)",114,148011
100,"City of Cortland, Ohio",UC4Mu0kFfL3Cei3ZOZc5Zyeg,Ohio,"(41.3303342, -80.7253575)",45,143532
57,"City of Arkansas City, Kansas",UCvQiHdrfXJc-sH4GxsFdx_A,Arkansas,"(37.0619736, -97.0383712)",65,142952
400,Minneapolis KS City Council,UCA6z63vmfvbdwJ2AYtXy05Q,Kansas,"(39.1231551, -97.7056365)",30,136154
22,"Boone County, IL Government",UCHPpw58YhZQALqaKm1inNpA,Illinois,"(42.2539351, -88.82470459999999)",11,134912
448,Piedmont West Virginia Info Network,UCAzc8Mv9NyzjOG2xD1KZFEg,West Virginia,"(39.48243790000001, -79.0482272)",36,133235
551,Westville Indiana,UCLcCLBCsqiXSuVu_jJfGKaw,Indiana,"(41.54142969999999, -86.9005825)",24,132433
104,"City of Dearborn Heights, MI",UCRdsv07DxBTF5ZWgiqXPcKw,Michigan,"(42.3369816, -83.27326269999999)",17,131636
82,City of Broken Arrow,UCAOrvaXvUHojbjsEn72Y-Dw,Oklahoma,"(36.060949, -95.7974526)",57,130978
432,Official City of Stonecrest Georgia,UCp3rYzHzhZvd9Y7Ruf1O6kg,Georgia,"(33.6904766, -84.0838805)",11,127227
170,City of Marion Ohio,UCyKE64OZ0-ACD-5N6oaC-Yw,Ohio,"(40.5886699, -83.1285242)",22,126729
107,"City of Dover, Delaware",UCE48l9y073rRIXVx9EbLCpA,Delaware,"(39.158168, -75.5243682)",23,125608
480,Suffolk County Government,UCBY8LgV6_y7QUn0c4lgxurw,New York,"(40.9132922, -72.6684075)",43,119205
111,City of El Paso Texas,UCwYdX-cXdg609Ppl8Bjq07g,Texas,"(31.7618778, -106.4850217)",29,117329
147,"City of Kalispell, Montana",UCED-PH7x6SQAWtMpdpp9XVg,Montana,"(48.1919889, -114.316813)",21,114896
576,thesalinaschannel,UCDRw9cCwSZoMesM7wg9IMgw,California,"(36.778261, -119.4179324)",27,114074
247,City of Whittier - Council,UCR695k5WfvSv0tc64m1qcqA,Alaska,"(60.77433059999999, -148.6851493)",10,108821
412,Municipal Employees' Retirement System of Michigan,UCnyUp57EJdcQNfbrD9lm77w,Michigan,"(42.721095, -84.648632)",26,108518
346,Iowa Counties,UCLHmerxoha95Oif5ubraYwA,Iowa,"(41.6624604, -92.0665197)",20,106890
328,Greenville Wisconsin,UCJdbHHH0GVrnrLQ2P5rsy9Q,Wisconsin,"(44.3002628, -88.53649539999999)",59,106721
189,City of Newark NJ,UCNiGYwneyNvfAIAcl6eOqmw,New Jersey,"(40.735657, -74.1723667)",81,103649
571,montgomerycountymd,UC5NXwF1EDfbecNogLVlrALw,Maryland,"(39.1547426, -77.2405153)",62,102134
483,Sun City AZ,UCdLy0Uy9sKWCJNLz37tn5ug,Arizona,"(33.5975393, -112.2718239)",17,100453
102,City of Crestview,UC6c0B22M2HhR57yJT3OPGyw,Florida,"(30.7541808, -86.5727995)",19,99242
317,FrederickCountyMD,UCxww6nBEuO-ZiYZRN65rsBw,Maryland,"(39.3844507, -77.4701972)",32,96382
304,Elim Union City NJ,UCMI5AfbUwdYQ0BaSw7kLC6A,New Jersey,"(40.7690496, -74.0286826)",12,94767
175,"City of Middletown, Ohio",UCh-fZasNyuDxLyVxjmcaCIw,Ohio,"(39.5150576, -84.39827629999999)",13,93426
507,Town of Lebanon,UCZV2ij7vU73Dh8C1JAI3QWQ,Maine,"(43.40066969999999, -70.91937899999999)",11,91353
141,City of Irondale Alabama Media Channel,UCGKMIsxUusCwlTEQpaKBs1Q,Alabama,"(33.5381601, -86.70721019999999)",29,90797
292,Davie County Government North Carolina,UCAiN6jkUKjTwR9skwbCiX7g,North Carolina,"(35.8936073, -80.5622214)",23,88967
377,Long Branch,UCazWLOC-aO4snD-76P7IhbA,New Jersey,"(40.30427780000001, -73.9923596)",14,85604
62,"City of Austin, Minnesota",UCz8RVD73YkHomdRrT_5LBwQ,Minnesota,"(43.6666296, -92.97463669999999)",99,82928
473,San Diego County Water Authority,UCbcVbucoGZmmZSHLKIHe8rg,California,"(32.8255245, -117.1312866)",133,82767
112,City of Elk River,UCdrWdP44oLkWv-hc0SIWF6g,Minnesota,"(45.33772829999999, -93.56911219999999)",149,82116
240,"City of Victoria, MN",UCx9xeLv6v0F0bMzK1BxMEzQ,Minnesota,"(44.8587227, -93.6615338)",12,81862
144,"City of Jackson, MS - Government",UCqo3szaVkdRjZ1cw1kKZktg,Mississippi,"(32.2981176, -90.1819512)",32,78288
553,"Wilson County, TN - Government",UCJ0nj4kiFHnfPUlW4uySzww,Tennessee,"(36.2131167, -86.28905320000001)",41,77071
118,"City of Ferrysburg, MI",UCMqr_ibvxyZlVajOzl-Tr3g,Michigan,"(43.08446199999999, -86.2203313)",10,75616
61,"City of Auburn, Maine",UCn4hg3vz0ftbcLee4mz-1Dw,Maine,"(44.0978509, -70.2311655)",9,71528
30,CITY OF HOLLYWOOD PARK,UCZnWXeNy5xRZUYFGT86lPMA,Texas,"(29.6005047, -98.48724)",11,71012
12,Augusta Georgia,UCj33t_Opz-YZ7auj6-RIs_A,Georgia,"(33.4734978, -82.0105148)",59,70056
491,Texas Municipal League Intergovernmental Risk Pool,UCCk9C8LXg9ncBGrFlog24Lg,Texas,"(30.3316115, -97.6812044)",21,69460
472,Salt Lake City Television,UCUzanlS6hJadbrMqnO_iofQ,Utah,"(40.7634412, -111.8905986)",39,69185
213,City of Rochester Building Safety,UCecGEc0sA9c2rr36BETWxiQ,Minnesota,"(44.0242437, -92.43130289999999)",7,65270
575,syracuse.com,UChbYn187BlBxq5LfGqZSv_A,New York,"(43.0481221, -76.14742439999999)",142,64180
238,City of Sunnyside Washington,UC7fq6y2MjcYTA-GBSTnXiuA,Washington,"(46.3237423, -120.0086538)",23,63748
549,WestminsterCO,UCJeyak1VUsnc1rPehZPNswg,Colorado,"(39.8366528, -105.0372046)",85,62236
122,"City of Fremont, CA",UCLm12bAo9z_1ob9UG69ZGKQ,California,"(37.5482697, -121.9885719)",48,62140
167,City of Maplewood MN,UCFoyXqYAzbo9ieihH-08zAA,Minnesota,"(44.9530215, -92.9952153)",65,60479
376,Logan County Oklahoma Local Government,UCHO_-sm2MrhIrt8AivUhMvA,Oklahoma,"(35.8780672, -97.4275742)",19,59042
442,PasadenaChannel,UC514B1OlciNW3q7lZU94PiA,Texas,"(29.69137, -95.1843055)",78,57968
362,"LBTV Long Beach, CA",UC9tkCWoykFdl-Z-JHSA3ATw,California,"(33.7700504, -118.1937395)",39,55900
307,ErieCountyNY,UC-bqfNQx5a6oFLVOX8kGeiw,New York,"(42.9023958, -78.8661589)",49,55447
329,Greenwood Indiana,UC60y34F88H1zvYh0sg3AdTg,Indiana,"(39.6136578, -86.10665259999999)",24,55243
406,Monroe North Carolina Government,UCzrGKOKR72fmCEn7D0f9mlg,North Carolina,"(35.0110269, -80.5447384)",15,54953
344,Indiana Counties,UChhq084D5FyZpN1i2MRccDA,Indiana,Indiana Counties,22,53577
335,Hennepin County MN,UCJDcgrMl0B2Og4ZdeOOrnFA,Minnesota,"(45.0208911, -93.5094574)",61,52315
558,austintexasgov,UCa6J9IdgL8Lir6YIQNsbkgQ,Texas,"(30.2671108, -97.7352672)",55,49955
515,Town of Vernon,UCYtqAAiyly9HwdaX6MHmDTg,Connecticut,"(41.8186802, -72.47903699999999)",5,49943
271,CityofVacaville,UCLC4Gd7Z4rwlWOciZVhlJJw,California,"(38.3565773, -121.9877444)",22,48852
51,"City of Albany, Oregon",UCbJgGQBiWbOMvpHnGbMLa8w,Oregon,"(44.6365107, -123.1059282)",22,47327
35,"Campbell County, Wyoming (Government)",UCl2KcXV1L_HJZlcZyxhapWw,Wyoming,"(44.3956107, -105.4489183)",12,45912
456,Prevention Institute,UCVpEtO68Hz0k2vuHWQMJFQQ,Connecticut,"(41.335094, -73.089766)",46,45101
469,Sacramento County District Attorney's Office,UCi0AEGcHEB460WW_VC1g6NA,California,"(38.5841801, -121.4930305)",80,44309
52,City of Albion,UCIsBR9GwwVJIL2wyGJCiXfg,Michigan,"(42.243097, -84.7530304)",7,42680
300,"DuPage County, Illinois",UC45ol-gzYfebGvZ3OLhzClA,Illinois,"(41.8243831, -88.0900762)",32,42319
319,FultonCountyGovernment,UCBdfjTes0C4KkKzXyKiK9zw,Georgia,"(33.7513931, -84.3913883)",170,41649
336,Hillsborough County,UC-ltrT7T2PDRdEEoU5NtOEg,Florida,"(27.9903597, -82.3017728)",76,41437
497,The Rappahannock Record,UCLvUPpawpHiVisnCS6XAkqA,Virginia,"(37.7114492, -76.3808789)",11,41305
331,"Haltom City, Texas",UCTQ7EcoJXKB8n0Bv6tItjXQ,Texas,"(32.7995738, -97.26918169999999)",2,40602
212,City of River Falls,UCoLgQPc-xuxbXrce-2ume-w,Wisconsin,"(44.8613563, -92.6238082)",14,39423
358,Kentucky League of Cities,UCr7WAKemYwT87iELNQfcybQ,Kentucky,"(38.045112, -84.49808999999999)",28,38741
403,Mississippi Department of Transportation,UCAZJpbHAIyVea2lY2sJBvZQ,Mississippi,"(32.3275393, -90.181474)",133,37152
42,Citizens4Integrity,UCsao3TFcldlkoBifyeanZ5g,South Dakota,"(43.9695148, -99.9018131)",12,36015
76,City of Boston,UCqdM7PpJ84RvkqM87OzMAzw,Indiana,"(39.74116009999999, -84.8519034)",41,32774
500,Town of Apple Valley Utah,UCxfcnSqTRCiZPLqABwMXslQ,Utah,"(37.10441550000001, -113.1251775)",3,32515
541,Washington State Auditor’s Office,UCoqV43R7JgM1q7WWi26Sorw,Washington,"(47.0358904, -122.9033286)",50,31716
41,Central County Water Control District,UCPO42Ece_pmdcQnrtDze-VA,Florida,"(26.6227859, -81.0785101)",5,31467
337,"Hoover, Alabama",UCEtvZ4p5toQc9p3XH2OTm9g,Alabama,"(33.4053867, -86.8113781)",64,30651
192,City of Newport RI,UCQEXfLzrNpxe7AZme3dTP0w,Rhode Island,"(41.4901024, -71.3128285)",6,30641
467,"SEMCOG, the Southeast Michigan Council of Governments",UCr0wxe2H-pgsBP8ag_HPNHQ,Michigan,"(42.332029, -83.0476)",46,30200
198,City of Oxnard Government - Official,UCyYBxLRP6z33lKEkyxreAUA,California,"(34.2000543, -119.1802258)",20,30081
408,Montana YMCA Youth and Government,UCTcNqEsmDnz8dAb1DUv40eg,Montana,"(46.5995748, -112.0316756)",8,30064
211,"City of Rio Rancho, NM Municipal Government",UCQbt-un8dQITuiIRLcbtq8Q,New Mexico,"(35.3109281, -106.6850204)",20,29914
181,"City of Monroe, Michigan",UCiO2fcMaMm-faFWMWNTcFIw,Michigan,"(41.9164343, -83.3977101)",7,29754
534,Wake County,UCJWIhzcE0ZVmh3kcZSj7gDA,North Carolina,"(35.8031909, -78.5660852)",22,29716
312,Falmouth Maine,UCHeGX1GVbkUOB-KSASNDvQw,Maine,"(43.7435343, -70.2601759)",26,29594
321,GOCC WISCONSIN,UCltp6NRcZoNXtHllH8VOMYQ,Wisconsin,"(43.7844397, -88.7878678)",6,29590
149,City of Kingman,UCCefFg5UL6weXKr-wenyHVQ,Arizona,"(35.189443, -114.0530065)",10,29364
142,City of Irvine,UClqzzO7LI1d8KB20gwDnd0g,California,"(33.6845673, -117.8265049)",45,28702
365,LWVSJC,UC0xqyjb977v3IXocgTSD2_g,California,"(33.510788, -117.641013)",5,28383
285,County of San Mateo,UC2bWDXcW6FfdxVyR-V34oag,California,"(37.4337342, -122.4014193)",21,27898
184,City of Mt. Pulaski,UCUGntHxJMcrkLQTsfMI0eaw,Illinois,"(40.0108767, -89.282314)",8,27767
436,Orange County North Carolina Video,UCWv68m-BGtw4OBxzOMB8fnQ,North Carolina,"(36.0741901, -79.0808665)",38,27747
155,City of Las Vegas Government,UCH9xyXcOBq9hEEkkx9iaojw,Nevada,"(36.1674222, -115.1487183)",17,25614
506,Town of Hope Indiana,UCP0V3YxQavE_NWKSYNw-7EQ,Indiana,"(39.3039397, -85.77137220000002)",7,25585
577,upwhawaii,UCC-QUQuhKO5wqg-ROI23H5A,Hawaii,"(19.8967662, -155.5827818)",51,25325
20,Bernalillo County,UCAKt5BZwiEUsv7sfIuPVDFQ,New Mexico,"(35.0177854, -106.6291304)",7,24526
288,Cycle City Hawaii,UC6zCHHNhSiPgBVWlbdqrBZQ,Hawaii,"(21.3358648, -157.9018814)",76,23642
345,IndianaGovernment,UCozYWNqZFDoraG0emqv5pxg,Indiana,"(39.76906899999999, -86.164862)",8,23590
151,"City of La Marque, Texas",UCxVsgw5xtGI61mjpnZIsq_A,Texas,"(29.3685674, -94.9713134)",7,23482
527,VT Environmental Assistance Office,UCS2vjqFSHAqKkHvRSk0Fy1w,Vermont,"(44.2560755, -72.5845027)",7,23316
528,Vermillion City Council,UCuzkuhioz6Qycw2w7LVP6Bg,South Dakota,"(42.7801475, -96.9313383)",3,23019
17,BeatriceNE,UCU5o7cx5DzXuWYZhcetoZAg,Nebraska,"(40.2659269, -96.7466913)",5,22487
464,SB County Community Development & Housing Agency,UCObCQpOZy4Z6zfG0pyKxPYQ,California,"(34.9592083, -116.419389)",3,22305
349,Jersey City TV,UCdLHkxEC-vqQLcJ9URFSjxw,New Jersey,"(40.70164740000001, -74.0954634)",2,22187
381,MAofSC,UCy9fEYosYMZ8hHNjC5Ckcgw,South Carolina,"(33.836081, -81.1637245)",75,21952
514,Town of Stafford Connecticut Government,UClrauDkq299UCkPjf4VTGrw,Connecticut,"(41.9536685, -72.303231)",4,21698
276,Connecticut Conference of Municipalities,UCjkAzQTiyYHKbBul87L2ygg,Connecticut,"(41.3061448, -72.9267022)",49,21474
445,Pennsylvania Youth and Government,UCcBuZVx4F52Dm_i2btUngFA,Pennsylvania,"(41.0268556, -75.7135563)",34,21396
386,"Marin County, California - Topic",UC7bWBURktSO66zx5c2_iKww,California,"(38.083403, -122.7633036)",31,21082
239,City of Texas City,UCdQS7VQBfII7oORQr99sh9g,Texas,"(29.383845, -94.9027002)",25,20535
482,Sullivan County NY Government,UC-6KnDAiuQEnDNWO13Ev1sw,New York,"(41.6584571, -74.6917748)",30,20376
476,Spring Hill,UCQEXn0j-fLqffqG4s6QBFfQ,Tennessee,"(35.751179, -86.9300023)",15,19896
297,"Dermott, AR - City Council Meetings",UCvnMypyvB77uiB3lQOM31WQ,Arkansas,"(33.527622, -91.43401899999999)",7,19892
157,City of Lennox South Dakota,UCv3rb5ZDuUF4uFk6yzeJEmQ,South Dakota,"(43.3541476, -96.8919951)",12,19296
93,"City of Colonial Heights, Virginia",UC1tsRrPU64271-CaggUfUmA,Virginia,"(37.244039, -77.4102607)",9,19080
410,Morris Minnesota City Government,UCBEIGAZ0NE9wZwzveonGqgA,Minnesota,"(45.5879479, -95.91012409999999)",4,19065
10,Arizona City Council Managers,UCfETHSDPPzHUpTnt1v4ETSw,Arizona,"(33.5305827, -111.9427231)",1,19040
373,Lee County FL,UCSnQCEJdfUrobF9dxUltyyA,Florida,"(26.6630286, -81.9534815)",44,18870
158,"City of Lewiston, ME",UCprFi23oI7DclYQ8kxx_mmQ,Maine,"(44.100351, -70.21477639999999)",14,17756
39,Catoosa County Government,UC64XOfN6J-FoYWa8r3nsXzg,Georgia,"(34.9143911, -85.1120737)",15,16846
274,ClerkPBC,UCNvqLXX6GTxXT7Oh2ugk2Zw,Florida,"(26.7152573, -80.0539668)",5,16673
31,CO Pearland,UCRAyWlB2d1XLCJ8SHH8xyxQ,Texas,"(29.5602328, -95.25944369999999)",55,16288
425,News Now Colorado,UCmQIlF7oc5d4MFoqCLYWxrA,Colorado,"(38.8324088, -104.8151814)",17,15845
351,JolietChamber,UCrw4xfNf3J6cLHhBT9MZONw,Illinois,"(41.525363, -88.08194300000001)",14,15801
355,KaysvilleCity,UCtH-iKmjfeXat6K2wOetoZQ,Utah,"(41.0352216, -111.9385521)",14,15459
28,"CDL Boulder City, NV",UCafmz4bssPAHklFxg7bYnGg,Nevada,"(35.976325, -114.849629)",4,15281
128,City of Greeley Government,UCegM3TAyGPayKBUHIeQCv6w,Colorado,"(40.4261819, -104.6949673)",21,15128
457,Prince George's County Government,UCO2d1EtrwB-VuFJAOxsApLg,Maryland,"(38.8180043, -76.7508472)",1,15061
536,Walton County Georgia Government,UCj0GzvDmT3kXYcl731gQhZQ,Georgia,"(33.7972101, -83.6962483)",14,15051
444,Pennsylvania Municipal League,UC4XZkKTzJb1Mn4PBweUcP6Q,Pennsylvania,"(40.2627665, -76.8867669)",32,14865
224,"City of Sanford, FL",UCrOGg6n2Qjw6yujcrwc0Z3g,Florida,"(28.8028612, -81.269453)",17,14756
289,DCRA Alaska,UCFSTJMeEaFAZloRXttusWtA,Alaska,"(61.215319, -149.8929102)",16,14699
468,SHTV1,UC0n_eLFiW2cCJ_24TSn9DjA,Michigan,"(44.3148443, -85.60236429999999)",15,14515
340,Huntsville AL Chamber,UCAAaVq-FtTy8HOhVel2f8sQ,Alabama,"(34.7321253, -86.59074179999999)",21,13190
437,"Orange County, NY Government",UCU3TVLdskRq8PPcLuNugy1A,New York,"(41.3911653, -74.3118212)",2,12922
9,"Apache County, AZ",UC2nB5nlo3B_zC-BapdrSE5A,Arizona,"(35.5313224, -109.3783206)",2,12690
380,Lovington CityHall,UClx_ZlWABOnJ8VIMCmNxUHQ,New Mexico,"(32.9469039, -103.3474216)",2,12407
32,CRTL Idaho,UCNgX63P-NrTDkW1b57j23jA,Idaho,"(43.448534, -112.082023)",6,12294
428,North Beach MD Town Meetings,UC8Fpm9HJuO0ucbnCqp5H60w,Maryland,"(38.7048652, -76.53337619999999)",2,11943
137,City of Idaho Falls,UCE2S6lYv_OBcXSLi1drW8Ng,Idaho,"(43.49266069999999, -112.0407584)",19,11843
6,Alaska Department of Fish and Game,UCuWzmB-DTkJ5QKz-SQj6ioQ,Alaska,"(58.299325, -134.4246039)",10,11534
420,New Jersey League of Municipalities,UCbce9oVw9LvO6vxNz_89mZw,New Jersey,"(40.2222399, -74.7735452)",13,11510
203,City of Portage,UCF2Ug3N2isAYPqthE20LMTQ,Indiana,"(41.5758707, -87.1761455)",2,11448
427,North Augusta SC 20/20 City Council Meetings Etc.,UCkwe765ru7YpKlWoeCj0DxA,South Carolina,"(33.5018026, -81.9651152)",17,11425
79,"City of Brentwood, TN",UCpy4tA7ME8ra38IDTTAXHVw,Tennessee,"(36.0331164, -86.78277720000001)",38,11132
395,Mesa Arizona,UCmLARnhYfg-Nrdn2tNVbamA,Arizona,"(33.4151843, -111.8314724)",11,11126
114,City of Enterprise,UCcNWtA7WWkhBthBak26TXnQ,Alabama,"(31.3151708, -85.85521609999999)",15,10894
200,"City of Parkersburg ,WV",UCnB1o9IZ7LWLn6rcupcRlDw,West Virginia,"(39.2667418, -81.56151349999999)",20,10821
178,"City of Minot, North Dakota",UC5lYczuYDY3kamyQAWkjzRA,North Dakota,"(48.2329668, -101.2922906)",11,10606
103,"City of Cuba, Missouri",UCh7i3_jSD81CUG2b4SsMRHw,Missouri,"(38.0628225, -91.40348329999999)",21,10511
389,Maryland Business for Responsive Government,UC9-lxdBwbGwCMl2Nci9x04A,Maryland,"(39.197507, -76.853346)",3,10486
283,County Supervisors Association of Arizona,UClaFI77eHUaMVsDH4uiQzFQ,Arizona,"(33.4476418, -112.1008513)",5,10323
255,CityOfTitusville,UCvQPDngBunvcPZsioiJuQ_g,Florida,"(28.6122187, -80.8075537)",10,10173
438,Oswego County Government,UC1ELFNINuYGu9umMYQoyKMg,New York,"(43.4576398, -76.5061367)",4,9733
97,City of Concord NH,UCDD8p5ZXUSNhW3_l8S78W5w,New Hampshire,"(43.2081366, -71.5375718)",15,9664
201,"City of Plattsburgh, New York",UC7H36PiuYNJJkZpczbLvCbw,New York,"(44.6994873, -73.4529124)",1,9499
367,LakeCountyTV,UCnKKNni9P9HgvUhNlszYu4w,Illinois,"(42.3689363, -87.8271534)",15,9423
60,"City of Ashland, KY",UCyq2LQ4SfzpLNVVsiOXG35w,Kentucky,"(38.4784144, -82.63793869999999)",1,9417
478,St. Louis County,UC2zQKsLDopMP6vAxDzAD0gw,Missouri,"(38.6103023, -90.4125181)",7,9130
366,"Lake County, FL - Government",UCd3YB4jmtmtKA1VkRXw33aQ,Florida,"(28.801728, -81.72981)",26,9111
